exposure,outcome,v7_role,n_iv,ivw_or,ivw_lci,ivw_uci,ivw_p,wm_or,wm_p,egger_or,egger_p,egger_int_p,presso_global_p,presso_n_outliers,presso_or_corr,presso_p_corr,Q_p
KOGES_LDL,BBJ_Glaucoma,primary,43,0.8434573335075404,0.7419135919664317,0.9588990970795408,0.0092878936822231,0.8374210817553944,0.0054196451455367,0.8434300169101742,0.078393745384834,0.9672376296796136,0.038,1.0,0.8582960743041317,0.0011407550493546,0.0347471421084378
KOGES_TC,BBJ_Glaucoma,primary,44,0.8620432701515035,0.7583216724536885,0.9799516835764456,0.0232300151115358,0.8353352223885238,0.0273700201068207,0.7833264245477736,0.1261001769822261,0.5687739583812148,0.019,0.0,0.8507920317427484,0.0012438835299718,0.0199961901344173
KOGES_TG,BBJ_Glaucoma,primary,39,0.8734517317655982,0.7883014184702724,0.967799765227865,0.0097260062316255,0.9071917710164183,0.0491365285362918,0.8564630919577787,0.0398054729556884,0.7016864322836953,0.175,0.0,0.8756352898952838,0.0009396631428863,0.1733707078656328
KOGES_LIP,BBJ_Glaucoma,primary,9,0.8591546619794925,0.7914965157333106,0.9325963141065926,0.0002861756508906,0.8451063507834156,0.0003128129462546,0.8196557079040336,0.217298562891798,0.7509554426676317,0.762,0.0,0.8591546619794925,0.0002861756508906,0.7735140909590967
KOGES_LDL,FinnGen_POAG,cross_ancestry,44,0.9248517385151344,0.8158148279349989,1.0484618677495008,0.2222394240568554,0.8905793036712738,0.0298585282777758,0.8496439424434383,0.0880235936541334,0.362688223419182,0.191,0.0,0.9104751977901678,0.0639354093806292,0.1851964380148262
KOGES_TC,FinnGen_POAG,cross_ancestry,44,0.9489553108198364,0.8331967004691233,1.08079662512603,0.4298925809330843,0.9248041132704902,0.3237731934653503,0.8437845744442474,0.2219957858028607,0.4001300243287631,0.14,0.0,0.9367720266738679,0.2253765995827394,0.126668380976183
KOGES_TG,FinnGen_POAG,cross_ancestry,42,0.9536433600763656,0.823706574499611,1.1040772119249005,0.5253370082649738,0.96268228267495,0.3281360564605707,0.9729093417313212,0.824751898281104,0.86742121656157,0.015,0.0,0.9558706358922093,0.3857967581599499,0.0231406230200048
KOGES_LIP,FinnGen_POAG,cross_ancestry,9,0.8982166053959135,0.8164229977975971,0.9882047325778222,0.0275542912602524,0.9377839122295627,0.4285586246974643,0.9541870157092298,0.8071197623778521,0.7438371039267251,0.466,0.0,0.8982166053959135,0.0275542912602524,0.4552378764847891
BBJ_LDLC,FinnGen_Glaucoma,cross_ancestry,32,0.8995790250338627,0.7877387097776793,1.0272980269171543,0.1181961293532891,0.9308915995078687,0.3881018395318422,0.9289068939252366,0.4514372376109218,0.7914978586671566,0.045,0.0,0.9095012443844807,0.0349492120729932,0.042703892972817
BBJ_TC,FinnGen_Glaucoma,cross_ancestry,58,0.8592923914408087,0.7370716026389158,1.0017797610767414,0.0527106743205291,0.9811400074846927,0.7874398693389072,0.9968543122046312,0.9797175965671288,0.3191796338129202,0.0,2.0,0.9047052594928939,0.0232532844807238,8.994036593268363e-08
BBJ_TG,FinnGen_Glaucoma,cross_ancestry,50,0.981297112741642,0.8755386085734185,1.0998304518450424,0.7455588317151597,1.0049457289398511,0.9388828571669864,0.8867851052685041,0.2077211923683339,0.3109276329080543,0.008,0.0,0.9624108069309272,0.3440690249592858,0.0126491226019874
BBJ_HDLC,FinnGen_Glaucoma,cross_ancestry,76,0.9500489329495302,0.8500353748546798,1.0618298975532003,0.366582085678966,1.011558757498957,0.8141159209039125,1.1295224867195448,0.140401205584842,0.0412859564947526,0.0,1.0,1.0046774385621042,0.8738930296951393,4.249822715962637e-12
BBJ_LDLC,FinnGen_XFG,subtype,32,0.8031502440031161,0.6513466692607517,0.9903333276799696,0.0402788631545237,0.7241244003719666,0.0711233902199916,0.8059793305096741,0.2391552444179787,0.9810492205786924,0.642,0.0,0.8031502440031161,0.0402788631545237,0.6154656798075553
BBJ_TC,FinnGen_XFG,subtype,58,0.7595275176365017,0.5901594678192102,0.977501982945038,0.0326167092280071,0.7744781774389639,0.0646372440969778,0.9505914549909228,0.8100884771836205,0.2665497468368507,0.136,1.0,0.8011463962056948,0.0334334098932189,0.1446894154876555
BBJ_TG,FinnGen_XFG,subtype,50,0.930337965715691,0.7537385586164677,1.148314253739042,0.501375549620977,1.0853498179022203,0.6052999999789553,1.0634582657906517,0.7486231767205123,0.4457078654956226,0.318,0.0,0.9387841030616625,0.5117973952389474,0.317348813395973
BBJ_HDLC,FinnGen_XFG,subtype,76,0.9566777668491652,0.7972060545469631,1.1480499230573638,0.6340527797544278,1.095996256807516,0.1772932878878222,1.236338378799913,0.1246265716259523,0.0579215591661504,0.071,1.0,1.0186280253509032,0.7917691188370075,0.069543718589604
KOGES_LDL,FinnGen_NTG,subtype,44,0.9703257998743354,0.7072661672241636,1.3312274805919797,0.8518892464584513,0.7568643392445547,0.2092802041272768,0.7850766204205643,0.2777992758664773,0.4219101304361744,0.0,1.0,0.8645044816030443,0.1320748931959888,0.0008030939287464
KOGES_TC,FinnGen_NTG,subtype,44,1.1253152513220392,0.8201915382510402,1.543949621277842,0.4643876113238255,1.1101835181591009,0.6704297913033057,0.6961284818199038,0.2575612045389952,0.1826942509320443,0.0,1.0,0.9645768458434668,0.7265750637756314,0.0004428829833474
KOGES_TG,FinnGen_NTG,subtype,42,1.04014197961025,0.8080373366107253,1.3389175087941962,0.759985030638747,1.1163492556779415,0.5282338717801296,1.1391131499630174,0.5535562987655853,0.7005907488372397,0.091,0.0,1.0599223097595616,0.5557636839650113,0.0971148561963058
KOGES_LIP,FinnGen_NTG,subtype,9,1.0121936844487265,0.8031800517234884,1.27559947814865,0.9181978055630732,1.0597183868036995,0.6661441380588815,0.7579815334179179,0.5298334441122637,0.5148638245308398,0.172,1.0,1.114462185788169,0.280048007667374,0.1709831990090324
BBJ_LDLC,FinnGen_NTG,subtype,32,0.9132848883024062,0.703496092104487,1.185634570771226,0.4957372558328314,1.1440469652067895,0.726830314327203,0.677148445109238,0.0906667844305702,0.1192153732851897,0.476,0.0,0.907090962679744,0.4575302913812689,0.4553113587400827
BBJ_TC,FinnGen_NTG,subtype,58,1.0475435571384186,0.7615855774903972,1.4408722230773177,0.7752121025656792,0.8403930965124966,0.4978580796616875,0.8078378763129868,0.4229976948224279,0.3950958269786362,0.1,1.0,0.9180078177562165,0.5042071811670128,0.0987115945954829
