exp_short,outcome,v7_role,n_iv,ivw_or,ivw_or_lci,ivw_or_uci,ivw_pval,tier
KOGES_LDL,BBJ_Glaucoma,primary,43,0.8434573335075404,0.7419135919664317,0.9588990970795408,0.0092878936822231,1
KOGES_TC,BBJ_Glaucoma,primary,44,0.8620432701515035,0.7583216724536885,0.9799516835764456,0.0232300151115358,1
KOGES_TG,BBJ_Glaucoma,primary,39,0.8734517317655982,0.7883014184702724,0.967799765227865,0.0097260062316255,1
KOGES_LIP,BBJ_Glaucoma,primary,9,0.8591546619794925,0.7914965157333106,0.9325963141065926,0.0002861756508906,1
KOGES_LDL,FinnGen_POAG,cross_ancestry,44,0.9248517385151344,0.8158148279349989,1.0484618677495008,0.2222394240568554,2
KOGES_TC,FinnGen_POAG,cross_ancestry,44,0.9489553108198364,0.8331967004691233,1.08079662512603,0.4298925809330843,2
KOGES_TG,FinnGen_POAG,cross_ancestry,42,0.9536433600763656,0.823706574499611,1.1040772119249005,0.5253370082649738,2
KOGES_LIP,FinnGen_POAG,cross_ancestry,9,0.8982166053959135,0.8164229977975971,0.9882047325778222,0.0275542912602524,2
BBJ_LDLC,FinnGen_Glaucoma,cross_ancestry,32,0.8995790250338627,0.7877387097776793,1.0272980269171543,0.1181961293532891,2
BBJ_TC,FinnGen_Glaucoma,cross_ancestry,58,0.8592923914408087,0.7370716026389158,1.0017797610767414,0.0527106743205291,2
BBJ_TG,FinnGen_Glaucoma,cross_ancestry,50,0.981297112741642,0.8755386085734185,1.0998304518450424,0.7455588317151597,2
BBJ_HDLC,FinnGen_Glaucoma,cross_ancestry,76,0.9500489329495302,0.8500353748546798,1.0618298975532003,0.366582085678966,2
BBJ_LDLC,FinnGen_XFG,subtype,32,0.8031502440031161,0.6513466692607517,0.9903333276799696,0.0402788631545237,2
BBJ_TC,FinnGen_XFG,subtype,58,0.7595275176365017,0.5901594678192102,0.977501982945038,0.0326167092280071,2
BBJ_TG,FinnGen_XFG,subtype,50,0.930337965715691,0.7537385586164677,1.148314253739042,0.501375549620977,2
BBJ_HDLC,FinnGen_XFG,subtype,76,0.9566777668491652,0.7972060545469631,1.1480499230573638,0.6340527797544278,2
KOGES_LDL,FinnGen_NTG,subtype,44,0.9703257998743354,0.7072661672241636,1.3312274805919797,0.8518892464584513,2
KOGES_TC,FinnGen_NTG,subtype,44,1.1253152513220392,0.8201915382510402,1.543949621277842,0.4643876113238255,2
KOGES_TG,FinnGen_NTG,subtype,42,1.04014197961025,0.8080373366107253,1.3389175087941962,0.759985030638747,2
KOGES_LIP,FinnGen_NTG,subtype,9,1.0121936844487265,0.8031800517234884,1.27559947814865,0.9181978055630732,2
BBJ_LDLC,FinnGen_NTG,subtype,32,0.9132848883024062,0.703496092104487,1.185634570771226,0.4957372558328314,2
