exposure,outcome,n_iv,ivw_or,ivw_lci,ivw_uci,ivw_p,cochran_q_p,egger_int_p
KOGES_LDL,BBJ_MI,43,2.0300466170804694,1.4747619226655104,2.794409866557532,1.4067720624872174e-05,0.0,0.6427139833264943
KOGES_TG,BBJ_MI,41,1.469564065219744,1.2407647978823355,1.7405543302575068,8.256691156768882e-06,0.0,0.386729583756807
KOGES_HDL,BBJ_MI,72,0.7678342943389233,0.6460204922233019,0.9126173405644272,0.0027220851144178,0.0,0.999252367719274
KOGES_TC,BBJ_MI,44,1.807955716641663,1.5069934273807228,2.169023310883673,1.833283446003912e-10,0.0,0.7523010058130251
BBJ_LDLC,BBJ_MI,39,2.48168751266093,1.7915688116211597,3.437642400642276,4.568150338153099e-08,0.0,0.4558805619129086
BBJ_TG,BBJ_MI,60,1.7092591064143905,1.3735063921466233,2.1270863459866884,1.5525754127397606e-06,0.0,0.2260352668655455
BBJ_HDLC,BBJ_MI,82,0.7071697311336085,0.5907200906421025,0.8465752842230096,0.0001604364547632,0.0,0.905135169210603
BBJ_TC,BBJ_MI,65,2.4166963021557635,1.9181629456279727,3.0447992075779,7.10279415117518e-14,0.0,0.0305933873981648
