label,or,lo,hi,p,F
LDL-C (BBJ),0.7830989602742033,0.696834428519625,0.8800425990508699,4.026260581002639e-05,32.57872209674556
TG (BBJ),0.8354865221198902,0.7478231260654341,0.9334262398605092,0.0014820987058399,51.75233355131871
HDL-C (BBJ),0.9433444748219884,0.8620791829675296,1.0322703711669272,0.2044509805873877,56.68847194094566
LDL (KoGES),0.843163607933114,0.7583952044126931,0.9374068633428814,0.0016012291392808,42.284153325174366
TG (KoGES),0.8713881780317612,0.7897261879276476,0.9614944627910438,0.0061042725077966,51.623180218463816
HDL (KoGES),0.9795796670499352,0.8982688427749292,1.0682507044698797,0.640742163754312,74.66770384203481
