n_ivs,n_exposures,Q,Q_df,Q_pval,cond_number,egger_intercept,egger_intercept_se,egger_intercept_pval,beta_B_LDLC,se_B_LDLC,pval_B_LDLC,OR_B_LDLC,OR_lo_B_LDLC,OR_hi_B_LDLC,sw_f_B_LDLC,sig_B_LDLC,beta_B_TG,se_B_TG,pval_B_TG,OR_B_TG,OR_lo_B_TG,OR_hi_B_TG,sw_f_B_TG,sig_B_TG,beta_B_HDLC,se_B_HDLC,pval_B_HDLC,OR_B_HDLC,OR_lo_B_HDLC,OR_hi_B_HDLC,sw_f_B_HDLC,sig_B_HDLC,module,module_name,outcome,exposures,beta_K_LDL,se_K_LDL,pval_K_LDL,OR_K_LDL,OR_lo_K_LDL,OR_hi_K_LDL,sw_f_K_LDL,sig_K_LDL,beta_K_TG,se_K_TG,pval_K_TG,OR_K_TG,OR_lo_K_TG,OR_hi_K_TG,sw_f_K_TG,sig_K_TG,beta_K_HDL,se_K_HDL,pval_K_HDL,OR_K_HDL,OR_lo_K_HDL,OR_hi_K_HDL,sw_f_K_HDL,sig_K_HDL
142,3,194.2544406995179,139,0.0013777037650680724,3.13966567175539,,,,-0.24449620493114063,0.05954655115407034,4.0262605810026386e-05,0.7830989602742033,0.696834428519625,0.8800425990508699,32.57872209674556,True,-0.1797410625909979,0.05655496370290218,0.0014820987058399293,0.8354865221198902,0.7478231260654341,0.9334262398605092,51.752333551318706,True,-0.058323766317351235,0.04596142174940047,0.20445098058738775,0.9433444748219884,0.8620791829675296,1.0322703711669272,56.68847194094566,False,lipid_bbj_ldl_tg_hdl,BBJ LDL+TG+HDL three-exposure model,BBJ_Glaucoma,BBJ_LDLC+BBJ_TG+BBJ_HDLC,,,,,,,,,,,,,,,,,,,,,,,,
114,3,155.72401762281854,111,0.003300566429100482,2.6976392751584863,,,,,,,,,,,,,,,,,,,,,,,,,,,,lipid_koges_ldl_tg_hdl,KOGES LDL+TG+HDL three-exposure model,BBJ_Glaucoma,KOGES_LDL+KOGES_TG+KOGES_HDL,-0.1705942615985494,0.05405938252972824,0.0016012291392808464,0.843163607933114,0.7583952044126931,0.9374068633428814,42.284153325174366,True,-0.1376677320286917,0.05020472404649731,0.00610427250779666,0.8713881780317612,0.7897261879276476,0.9614944627910438,51.623180218463816,True,-0.0206317104997625,0.04421130893018675,0.640742163754312,0.9795796670499352,0.8982688427749292,1.0682507044698795,74.66770384203481,False
