module_name,outcome,exposures,n_ivs,Q_pval,cond_number,beta_B_LDLC,se_B_LDLC,pval_B_LDLC,OR_B_LDLC,sw_f_B_LDLC,sig_B_LDLC,beta_B_TG,se_B_TG,pval_B_TG,OR_B_TG,sw_f_B_TG,sig_B_TG,beta_B_HDLC,se_B_HDLC,pval_B_HDLC,OR_B_HDLC,sw_f_B_HDLC,sig_B_HDLC,beta_K_LDL,se_K_LDL,pval_K_LDL,OR_K_LDL,sw_f_K_LDL,sig_K_LDL,beta_K_TG,se_K_TG,pval_K_TG,OR_K_TG,sw_f_K_TG,sig_K_TG,beta_K_HDL,se_K_HDL,pval_K_HDL,OR_K_HDL,sw_f_K_HDL,sig_K_HDL
BBJ LDL+TG+HDL three-exposure model,BBJ_Glaucoma,BBJ_LDLC+BBJ_TG+BBJ_HDLC,142,0.001377703765068,3.13966567175539,-0.2444962049311406,0.0595465511540703,4.026260581002639e-05,0.7830989602742033,32.57872209674556,True,-0.1797410625909979,0.0565549637029021,0.0014820987058399,0.8354865221198902,51.75233355131871,True,-0.0583237663173512,0.0459614217494004,0.2044509805873877,0.9433444748219884,56.68847194094566,False,,,,,,,,,,,,,,,,,,
KOGES LDL+TG+HDL three-exposure model,BBJ_Glaucoma,KOGES_LDL+KOGES_TG+KOGES_HDL,114,0.0033005664291004,2.6976392751584863,,,,,,,,,,,,,,,,,,,-0.1705942615985494,0.0540593825297282,0.0016012291392808,0.843163607933114,42.284153325174366,True,-0.1376677320286917,0.0502047240464973,0.0061042725077966,0.8713881780317612,51.623180218463816,True,-0.0206317104997625,0.0442113089301867,0.640742163754312,0.9795796670499352,74.66770384203481,False
