label,outcome,or,lo,hi,p
BBJ Glaucoma,BBJ_Glaucoma,0.8591546619794925,0.7914965157333106,0.9325963141065926,0.0002861756508906
BBJ Cataract,BBJ_Cataract,0.8682329865627101,0.8145424416329716,0.9254625424359094,1.4349274984059445e-05
TWB Retinopathy,TWB_Retinopathy,0.8656392546640039,0.6603525683256309,1.1347443095666805,0.2961477163217418
TWB Macular Degen.,TWB_Macular,1.0959317724607394,0.826610223057112,1.4530021724712614,0.5243685146069202
TWB Cataract,TWB_Cataract,1.0284088026194151,0.918249978708886,1.151782945633369,0.6279562948601287
TWB Glaucoma,TWB_Glaucoma,0.9832059718386682,0.7543298620403354,1.2815268647120444,0.9003077962651226
