exposure,outcome,role,n_iv,ivw_beta,ivw_se,ivw_pval,wm_beta,wm_se,wm_pval,egger_beta,egger_se,egger_pval,egger_intercept,egger_intercept_pval,presso_global_pval,presso_n_outliers,presso_pval_corr,wmode_beta,wmode_se,wmode_pval,smode_beta,smode_se,smode_pval,ivw_no_outlier_beta,ivw_no_outlier_se,ivw_no_outlier_pval,q_stat,q_pval
KOGES_LDL,BBJ_Glaucoma,primary,43,-0.1702459609576894,0.0654472114865606,0.0092878936822231,-0.1774282504627382,0.0638008098565038,0.0054196451455367,-0.1702783479423471,0.0943276340982477,0.078393745384834,0.0002597956708723,0.9672376296796136,0.038,1.0,0.0011407550493546,-0.1828727806468544,0.094408719027142,0.0527413401536397,-0.2298920541433839,0.1289481795663146,0.0746147747463685,-0.1479936616301112,0.0585535437105794,0.0114880171191225,60.08069434329062,0.0347471421084378
KOGES_TC,BBJ_Glaucoma,primary,44,-0.1484498121867555,0.0654070414187829,0.0232300151115358,-0.1799221707580147,0.0815529847786829,0.0273700201068207,-0.2442057802771825,0.156472502799779,0.1261001769822261,0.0054730047380174,0.5687739583812148,0.019,0.0,0.0012438835299718,-0.1089867208976052,0.1332208794459824,0.4133055772276677,-0.1254062568245479,0.1646555056126038,0.4462820099491331,,,,64.11649374578236,0.0199961901344173
KOGES_TG,BBJ_Glaucoma,primary,39,-0.1353024093600169,0.0523328276294647,0.0097260062316255,-0.0974014167988869,0.0495075556725923,0.0491365285362918,-0.154944053847804,0.0727121708444461,0.0398054729556884,0.0022983337117826,0.7016864322836953,0.175,0.0,0.0009396631428863,-0.1225003023492943,0.0433141742550718,0.0046813405748531,-0.0929942845926423,0.0754164189102771,0.2175468743157347,,,,46.0539296900436,0.1733707078656328
KOGES_LIP,BBJ_Glaucoma,primary,9,-0.1518063243345449,0.0418487129805866,0.0002861756508906,-0.1682928006292473,0.0466902673530267,0.0003128129462546,-0.1988708953029746,0.1466903588632802,0.217298562891798,0.0075193672497749,0.7509554426676317,0.762,0.0,0.0002861756508906,-0.2103600722887161,0.0588604767647197,0.0003517349328838,-0.1532195885325473,0.0566275854507446,0.0068152144569772,,,,4.849689814012236,0.7735140909590967
