exposure,outcome,n_iv,r2_threshold,ivw_or,ivw_lci,ivw_uci,ivw_p
KOGES_LDL,BBJ_Glaucoma,41,0.001,0.8488641324467816,0.7719734188411216,0.9334133763780881,0.0007184867162435271
KOGES_TC,BBJ_Glaucoma,37,0.001,0.8701174607438327,0.785216822293121,0.9641978801221719,0.007906912634327634
KOGES_TG,BBJ_Glaucoma,28,0.001,0.8861771912479489,0.8112924384753083,0.9679740338317041,0.007305013848847963
KOGES_LIP,BBJ_Glaucoma,7,0.001,0.8556987112015544,0.7821826167186178,0.9361244659511655,0.0006733635530751236
BBJ_LDLC,BBJ_Glaucoma,32,0.001,0.8430372757713825,0.7579726612875591,0.9376483937201066,0.0016531926103471317
BBJ_TC,BBJ_Glaucoma,50,0.001,0.7852807456875999,0.6915143094801172,0.891761516853186,0.00019471982127416965
BBJ_TG,BBJ_Glaucoma,35,0.001,0.8671470042768521,0.7865061144659515,0.9560560473670306,0.004204669305741371
BBJ_HDLC,BBJ_Glaucoma,51,0.001,1.0257079722194102,0.947836665004991,1.1099769434103022,0.5286245606309747
